Metric,Baseline,With Save+Emissions
Final Price (USD),112135.39005351899,841562.505201547
Final DEX ONE Reserve,68.54973552569875,1.7406771667883487
Final DEX USDC Reserve,7686851.331239797,1464888.6372295339
Final DEX TVL (USD),15493420.243307143,2887903.2744590677
Final Depth to +1% (USDC),46121.10798743879,8789.331823377204
Final Save Utilization,0.857983614488163,0.7241848009549662
Final Save Borrow Balance (USD),1845572.3100375724,2203524.264364914
Final Save APY (supply+emissions) %,38.62243137036066,47.11998342516722
