Shock %,ONE Price (USD),Collateral Value (USD),Debt (USD),Health Factor,At Risk (HF<1)
-0.9,8799.999999999998,4999.999999999999,15000.0,0.13333333333333333,True
-0.8525,12979.999999999996,7374.999999999998,15000.0,0.19666666666666663,True
-0.805,17159.999999999996,9749.999999999998,15000.0,0.25999999999999995,True
-0.7575000000000001,21339.999999999993,12124.999999999996,15000.0,0.32333333333333325,True
-0.71,25520.000000000004,14500.000000000004,15000.0,0.38666666666666677,True
-0.6625000000000001,29699.999999999993,16874.999999999996,15000.0,0.44999999999999996,True
-0.615,33880.0,19250.0,15000.0,0.5133333333333333,True
-0.5675,38060.0,21625.000000000004,15000.0,0.5766666666666668,True
-0.52,42240.0,24000.000000000004,15000.0,0.6400000000000001,True
-0.47250000000000003,46420.0,26375.000000000004,15000.0,0.7033333333333335,True
-0.42500000000000004,50599.99999999999,28750.0,15000.0,0.7666666666666667,True
-0.37750000000000006,54779.99999999999,31125.0,15000.0,0.83,True
-0.32999999999999996,58960.0,33500.0,15000.0,0.8933333333333333,True
-0.2825,63140.0,35875.0,15000.0,0.9566666666666667,True
-0.235,67320.0,38250.0,15000.0,1.02,False
-0.1875,71500.0,40625.0,15000.0,1.0833333333333333,False
-0.14,75680.0,43000.00000000001,15000.0,1.146666666666667,False
-0.09250000000000003,79860.0,45375.00000000001,15000.0,1.2100000000000002,False
-0.04500000000000004,84040.0,47750.00000000001,15000.0,1.2733333333333337,False
0.0024999999999999467,88220.0,50125.00000000001,15000.0,1.336666666666667,False
0.04999999999999993,92399.99999999999,52500.0,15000.0,1.4,False
0.09750000000000003,96580.00000000001,54875.000000000015,15000.0,1.4633333333333338,False
0.1449999999999999,100760.0,57250.00000000001,15000.0,1.5266666666666668,False
0.1925,104939.99999999999,59625.0,15000.0,1.59,False
0.2400000000000001,109120.00000000001,62000.000000000015,15000.0,1.6533333333333338,False
0.2875,113300.00000000001,64375.000000000015,15000.0,1.7166666666666672,False
0.3350000000000001,117480.0,66750.0,15000.0,1.78,False
0.38249999999999995,121659.99999999999,69125.0,15000.0,1.8433333333333333,False
0.43000000000000005,125840.00000000001,71500.00000000001,15000.0,1.9066666666666672,False
0.4774999999999999,130020.0,73875.0,15000.0,1.97,False
0.525,134200.0,76250.0,15000.0,2.033333333333333,False
0.5724999999999999,138379.99999999997,78624.99999999999,15000.0,2.0966666666666662,False
0.62,142560.0,81000.0,15000.0,2.16,False
0.6675000000000001,146740.0,83375.00000000001,15000.0,2.2233333333333336,False
0.715,150920.0,85750.00000000001,15000.0,2.286666666666667,False
0.7625000000000001,155100.00000000003,88125.00000000003,15000.0,2.350000000000001,False
0.8099999999999999,159280.0,90500.00000000001,15000.0,2.413333333333334,False
0.8575,163460.0,92875.00000000001,15000.0,2.476666666666667,False
0.9049999999999999,167639.99999999997,95249.99999999999,15000.0,2.5399999999999996,False
0.9525,171820.0,97625.00000000001,15000.0,2.603333333333334,False
1.0,176000.0,100000.00000000001,15000.0,2.666666666666667,False
